photo_id,Horizontal/Vertical,Translúcida/Opaca,Simétrica/Assimétrica,Complexa/Simples,Interna/Externa,Aberta/Fechada
53,0.77,0.75,0.24,0.22,0.76,0.74
54,0.35,0.11,0.84,0.62,0.0,0.0
55,0.44,0.29,0.77,0.6,0.05,0.11
73,0.54,0.5433333333333333,0.39999999999999997,0.61,0.2833333333333333,0.78
94,0.3,0.33,0.29,0.41,0.62,0.3
98,1.0,0.7,0.31,0.18,0.05,0.93
99,0.7133333333333334,0.2657142857142857,0.6559999999999999,0.4628571428571428,0.2475,0.5685714285714286
109,0.765,0.088,0.6216666666666667,0.41,0.15,0.4075
110,0.615,0.6775,0.54,0.23249999999999998,0.075,0.385
111,0.8140000000000001,0.172,0.502,0.36,0.0,0.20333333333333334
113,0.83,0.86,0.87,0.81,0.84,0.79
116,0.515,0.74,0.43,0.475,0.125,0.7749999999999999
131,0.29333333333333333,0.2783333333333333,0.38000000000000006,0.5566666666666668,0.476,0.375
138,1.0,1.0,0.2,0.06,0.0,0.99
144,0.18,0.24,0.39,0.72,0.63,0.05
147,0.62,0.62,0.75,0.385,0.2,0.44
149,,0.99,0.09,0.1,,1.0
158,0.19,0.8049999999999999,0.165,0.81,1.0,0.81
159,0.9259999999999999,0.215,0.5740000000000001,0.136,0.11200000000000002,0.35
162,0.865,0.26,0.515,0.175,0.1,0.33
163,0.6,0.28,0.7,0.78,0.89,0.11
183,0.175,0.465,0.445,0.155,0.9,0.5
187,0.6,0.41,0.95,0.09,0.08,1.0
202,,0.78,0.63,0.26,1.0,0.0
718,0.6,0.81,0.69,0.73,0.82,0.81
725,0.29500000000000004,0.42875,0.4225,0.47875,0.36375,0.3825
753,0.95,0.84,0.1,0.3,1.0,0.9
758,0.18,0.36,0.71,0.41,0.36,0.52
762,0.23,0.28,0.57,0.54,0.32,0.71
772,0.4,0.73,0.41,0.55,0.97,0.6
777,0.73,,0.73,0.06,0.18,0.69
780,0.3566666666666667,0.4166666666666667,0.23333333333333336,0.5133333333333333,0.43333333333333335,0.47333333333333333
793,0.15500000000000003,0.855,0.10500000000000001,0.8300000000000001,0.66,0.765
795,0.13,0.4,0.34,0.13,0.0,0.62
800,0.9,0.5975,0.512,0.362,0.5525,0.5733333333333334
801,0.5033333333333333,0.43333333333333335,0.42,0.39666666666666667,0.47,0.38666666666666666
812,0.81,0.9,0.93,0.09,0.87,0.34
822,0.505,0.14500000000000002,0.8400000000000001,0.14500000000000002,0.9550000000000001,0.060000000000000005
831,,,1.0,,,1.0
833,0.32,0.73,0.78,0.31,0.78,0.24
840,0.6366666666666667,0.48666666666666664,0.5599999999999999,0.3833333333333333,0.21666666666666667,0.71
860,0.83,0.58,0.4,0.41,0.29,0.82
864,0.68,0.41,0.39,0.25,0.21,0.73
865,0.415,0.27999999999999997,0.48,0.33999999999999997,0.21799999999999997,0.628
871,0.8300000000000001,0.406,0.4975,0.356,0.2,0.4033333333333333
878,0.3171428571428571,0.5216666666666666,0.34833333333333333,0.5571428571428572,0.5971428571428571,0.41571428571428576
888,0.89,0.85,0.19,0.19,0.05,0.76
893,0.26,0.37,0.41,0.46,0.33,0.76
902,0.72,0.79,0.72,0.8,0.62,0.64
914,,,0.77,0.71,,0.81
922,0.38,0.6599999999999999,0.475,0.5900000000000001,0.11,0.7350000000000001
929,0.605,0.51,0.225,0.435,0.125,0.515
950,0.58,0.51,0.78,0.21,0.8,0.4
955,1.0,0.58,1.0,0.1,0.01,0.64
963,0.28500000000000003,0.45999999999999996,0.255,0.51,0.36,0.29500000000000004
967,0.385,0.51,0.385,0.71,0.635,0.735
968,0.25,0.6,0.4,0.4,0.45,0.25
990,0.59,0.53,0.77,0.28,0.19,0.69
992,0.95,0.65,0.38,0.31,0.06,0.74
997,0.105,0.7250000000000001,0.48,0.505,0.075,0.685
999,0.84,0.71,0.25,0.45,0.14,0.64
1016,0.39,0.1,0.43,0.09,0.94,0.34
1092,0.19,0.37,0.18,0.23,0.84,0.14
1093,0.75,0.44400000000000006,0.5366666666666666,0.5614285714285714,0.395,0.5283333333333333
1094,1.0,0.79,0.7,0.19,0.0,0.8
1105,0.76,0.25,0.72,0.64,0.84,0.18
1107,0.62,0.71,0.68,0.34,0.3,0.67
1115,0.61,0.62,0.16,0.12,0.09,0.41
1119,0.43,0.7,0.435,0.5,0.615,0.22999999999999998
1184,0.76,0.76,0.23,0.66,0.75,0.75
1187,0.88,0.36,0.71,0.55,0.06,0.68
1194,0.76,0.4,1.0,0.75,0.0,
1253,0.43,0.8,0.23,0.64,0.25,0.75
1329,0.18,0.38,0.67,0.75,0.68,0.27
1372,0.69,0.18,0.73,0.64,0.74,0.28
1375,0.62,0.4,0.14,0.83,0.7,0.25
1385,0.455,0.265,0.685,0.77,0.86,0.16999999999999998
1422,0.0,1.0,0.0,0.64,0.61,0.29
1436,0.285,0.875,0.12000000000000001,0.845,0.09,0.8300000000000001
1459,0.72,0.35,0.28,0.32,0.37,0.72
1465,0.8,0.28,0.41,0.37,0.39,0.7
1477,0.09,0.11,0.14,0.21,0.82,0.16
1502,0.35571428571428576,0.5628571428571428,0.36999999999999994,0.4471428571428571,0.3833333333333333,0.6266666666666667
1503,0.6275000000000001,0.8266666666666667,0.8225,0.336,0.0775,0.8200000000000001
1675,0.48,0.52,0.72,0.28,0.025,0.71
1714,0.39499999999999996,0.4,0.585,0.255,0.53,0.2
1717,,1.0,,1.0,0.11,0.78
1721,1.0,0.82,0.66,0.33,0.03,0.66
1726,0.65,0.56,0.36,0.57,1.0,0.56
1731,0.4,0.66,0.42,0.6,1.0,0.65
1732,0.42,0.65,0.38,0.59,0.94,0.6
1737,0.28,0.71,0.345,0.595,0.14500000000000002,0.645
1738,0.61,0.6,0.77,0.26,0.02,0.47
1744,0.48,0.66,0.46,0.57,0.99,0.65
1784,0.9,0.28,0.76,0.87,0.49,0.76
1785,0.2333333333333333,0.34,0.58,0.5033333333333333,0.19666666666666668,0.44333333333333336
1788,0.42,0.09,0.23,0.83,0.02,0.13
1791,0.31,0.725,0.565,0.6000000000000001,0.675,0.76
1810,0.33,0.4,0.6,0.33,0.48,0.67
1813,0.21,0.62,0.55,0.65,0.6,0.42
1818,0.21,0.89,0.43,0.39,0.77,0.73
1821,0.895,0.6599999999999999,0.9199999999999999,0.6,0.5,0.875
1825,0.82,0.8,0.45,0.56,0.78,0.72
1826,0.33666666666666667,0.3133333333333333,0.52,0.5533333333333333,0.355,0.57
1828,0.54,0.45999999999999996,0.515,0.1,0.42,0.61
1834,0.92,0.63,0.84,0.11,0.05,0.69
1842,0.31,0.305,0.49666666666666665,0.475,0.51,0.365
1851,0.8,0.32,0.36,0.56,0.25,0.81
1852,0.27999999999999997,0.885,0.16,0.73,0.465,0.7749999999999999
1860,0.45,0.3,0.23,0.58,0.42,0.69
1868,0.68,,0.18,0.47,0.47,
1869,0.7,0.22999999999999998,0.175,0.35,0.3,0.6
1876,0.1,0.76,0.28,0.3,0.68,0.29
1888,0.16999999999999998,0.71,0.125,0.53,0.235,0.385
1891,0.24,0.94,0.9,0.06,0.91,0.83
1895,0.475,0.51,0.44499999999999995,0.39,0.08,0.595
1899,0.76,0.18,,,,
1902,0.51,0.28,0.43,0.57,0.44,0.74
1903,0.52,0.46,0.75,0.48,0.44,0.58
1910,0.16,0.52,0.245,0.7050000000000001,0.53,0.27
1951,0.17,0.37,0.21,0.58,0.39,0.49
1957,0.51,0.55,0.43999999999999995,0.43,0.185,0.5700000000000001
1961,0.08,0.78,0.84,0.19,0.86,0.72
1962,0.3766666666666667,0.7233333333333333,0.51,0.44333333333333336,0.33666666666666667,0.7033333333333333
1973,0.61,0.66,0.455,0.38,0.14,0.645
1978,0.4,0.68,0.96,0.1,0.24,0.13
1980,0.25,0.65,0.56,0.54,0.36,0.75
1984,0.38,0.42,0.39,0.51,0.32,0.71
1989,0.94,0.59,0.41,0.14,0.04,0.56
