photo_id,tag
52,igreja
53,"igreja, escadaria"
54,"igreja, escadaria"
55,"janela, fachada, casa, porta"
56,"fachada, casa"
57,"fachada, casa"
58,"fachada, casa"
59,"igreja, fachada"
60,igreja
61,"janela, fachada, casa, porta"
62,"rua, fachada, casa"
63,"rua, fachada, casa"
64,"fachada, casa"
65,"igreja, escadaria"
66,"fachada, casa"
67,museu
68,museu
69,"ornamento, fachada"
70,"fachada, museu"
72,mobiliário
73,igreja
74,"ornamento, janela, porta"
75,"ornamento, janela, porta"
76,"janela, fachada, porta"
77,"fachada, casa"
80,museu
83,museu
84,museu
85,museu
86,museu
87,"concreto aparente, escultura, jardim, museu"
88,museu
89,jardim
90,"concreto, vidro, concreto aparente, jardim, mosaico português"
91,museu
92,"madeira, concreto aparente, passarela, jardim, museu"
93,"madeira, concreto aparente, passarela, jardim, museu"
94,"vidro, madeira, jardim, museu"
95,"vidro, madeira, concreto aparente, jardim, museu"
96,"vidro, madeira, concreto aparente, jardim, museu"
97,"vidro, madeira, concreto aparente, jardim, museu"
98,"vidro, madeira, concreto aparente, jardim, museu"
99,"vidro, madeira, concreto aparente, jardim, museu"
100,"vidro, madeira, concreto aparente, jardim, museu"
101,"vidro, madeira, concreto aparente, jardim, museu"
102,"vidro, madeira, concreto aparente, jardim, museu"
103,"vidro, madeira, concreto aparente, luminária"
104,"vidro, concreto aparente, passarela, jardim, museu"
105,"vidro, madeira, concreto aparente, escultura, brise, jardim, museu"
106,"vidro, guarda corpo, madeira, concreto aparente, escada, passarela, jardim, museu"
107,"vidro, guarda corpo, madeira, concreto aparente, passarela, jardim, museu"
108,"vidro, guarda corpo, concreto aparente, passarela, jardim, museu"
112,"pedra, telha, telhado"
113,"pedra, telha, telhado"
114,"pedra, muro"
115,"pedra, telha, telhado"
116,"pedra, telhado"
117,"pedra, telha, telhado"
118,"pedra, muro"
119,"pedra, telha, telhado, muro"
120,"concreto aparente, pedra, brise"
121,"concreto aparente, pedra, brise"
122,"concreto aparente, pedra, brise"
123,mobiliário
124,"vidro, concreto aparente, brise"
125,"vidro, concreto aparente, brise"
126,"concreto aparente, brise"
127,"concreto aparente, brise"
128,"concreto aparente, brise"
129,"vidro, concreto aparente, brise"
130,"vidro, concreto aparente, brise"
131,"vidro, concreto aparente, brise"
132,"vidro, concreto aparente, brise"
133,"vidro, concreto aparente"
134,brise
135,"vidro, concreto aparente, brise"
136,"vidro, concreto aparente, pedra, brise"
137,"concreto aparente, cobertura"
138,"concreto aparente, cobertura"
139,"concreto aparente, cobertura"
140,"alvenaria, concreto aparente, cobertura"
141,"alvenaria, concreto aparente, cobertura"
142,"concreto aparente, cobertura"
143,"concreto aparente, cobertura"
144,"concreto aparente, cobertura"
145,"concreto aparente, cobertura"
146,"concreto aparente, cobertura"
147,"concreto aparente, cobertura"
148,"concreto aparente, cobertura"
149,"concreto aparente, cobertura"
150,"ornamento, fachada"
151,"ornamento, fachada"
152,"ornamento, fachada"
153,"ornamento, fachada"
154,"ornamento, fachada, praça"
155,"vidro, ornamento, fachada"
157,residência
158,banco
159,"fachada, casa, residência"
163,"pilotis, modernismo, arquitetura moderna"
164,"modernismo, arquitetura moderna"
165,"modernismo, arquitetura moderna, brutalismo"
167,faculdade
169,"madeira, tijolo"
171,igreja
172,tijolo
173,tijolo
174,"tijolo, paralelepípedo"
176,"tijolo, paralelepípedo"
177,tijolo
178,tijolo
180,"madeira, varanda, tijolo"
181,"madeira, janela, tijolo, empena"
182,"vidro, madeira, janela, tijolo"
183,"madeira, tijolo"
184,"madeira, telhado, tijolo"
185,"madeira, varanda, janela, arco"
187,"concreto, cobertura, praça"
188,"concreto, cobertura, praça"
189,"madeira, tijolo, paralelepípedo"
190,"madeira, tijolo, paralelepípedo"
192,"residência, tijolo, paralelepípedo"
193,madeira
194,"tijolo, ponte"
196,"varanda, paralelepípedo"
197,"igreja, arquitetura moderna, hans broos"
198,"igreja, arquitetura moderna, hans broos"
199,"igreja, arquitetura moderna, hans broos"
200,"igreja, arquitetura moderna, hans broos"
201,cobertura
718,"alvenaria, veneziana, beiral, cobertura, jardim"
723,"vidro, ferro, pilotis, telhado, beiral, pano de vidro, esquadria, caixilho, janela, turístico, telha, telha cerâmica, madeira, fachada, janela basculante, alvenaria, guarda-corpo, cerâmica"
724,"concreto, concreto pintado, vidro, ferro, elemento vazado, cobogó, fachada cega, pilar, abertura, público, edifício, alvenaria, prédio, guarda-corpo"
725,"concreto, granito, ferro, vidro, ornamento, banco, calçada, rua, prédio, edifício"
726,"concreto, concreto aparente, ferro, vidro, esquadria, pano de vidro, parede curva, comercial, prédio, circulação, calçada, rua, poste, alvenaria"
727,"prédio, concreto, ferro, vidro, pedra, pano de vidro, esquadria, comercial, banco, empena, edifício"
728,"concreto, ferro, vidro, pedra, pano de vidro, esquadria, veneziana, comercial, banco, edifício, prédio, calçada, rua"
729,"guarda-corpo, concreto, ferro, vidro, pedra, pano de vidro, esquadria, veneziana, comercial, banco, edifício, prédio, calçada, rua"
730,"concreto, concreto aparente, concreto pintado, ferro, vidro, pano de vidro, esquadria, janela basculante, veneziana, abertura, varanda, guarda-corpo, marquise, habitação, edifício, prédio, rua, calçada, circulação, poste, alvenaria"
731,"vidro, ferro, cimento, alvenaria, concreto, concreto aparente, pedra, escultura, coluna, pórtico, telha, telha cerâmica, telhado, esquadria, caixilho, janela, ornamento, arco, mureta, público, educacional, faculdade, edifício, prédio, igreja, calçada, rua, poste"
732,"vidro, ferro, cimento, alvenaria, concreto, concreto aparente, pedra, escultura, coluna, pórtico, esquadria, caixilho, janela, ornamento, arco, mureta, público, educacional, faculdade, edifício, prédio, calçada, rua, poste"
733,"vidro, ferro, cerâmica, cimento, alvenaria, concreto, concreto aparente, pedra, mobiliário, banco, escultura, coluna, pórtico, telha, telha cerâmica, telhado, beiral, tijolo de barro, esquadria, caixilho, janela, ornamento, arco, mureta, público, educacional, faculdade, edifício, prédio, igreja, calçada"
734,"vidro, ferro, cimento, alvenaria, concreto, concreto aparente, pedra, escultura, coluna, pórtico, esquadria, caixilho, janela, ornamento, arco, mureta, público, educacional, faculdade, edifício, prédio"
735,"vidro, ferro, concreto, pedra, coluna, pórtico, beiral, esquadria, caixilho, janela, ornamento, arco, degrau, escada, mureta, público, educacional, faculdade, igreja, rua, prédio, edifício, concreto aparente, calçada, alvenaria"
736,"calçada, vidro, ferro, cimento, alvenaria, concreto, concreto aparente, pedra, escultura, coluna, pórtico, beiral, esquadria, caixilho, janela, ornamento, arco, degrau, escada, público, educacional, faculdade, edifício, prédio, igreja"
737,"rua, vidro, concreto, concreto aparente, estrutura, pilar, laje, vão, guarda-corpo, muro, público, transporte, poste"
738,"vidro, cerâmica, madeira, alvenaria, cobertura, telha, telha cerâmica, telhado, beiral, platibanda, mureta, janela, veneziana, porta, degrau, escada, paralelepípedo, azulejo, habitação, residência, casa, rua"
739,"vidro, cerâmica, madeira, alvenaria, cobertura, telha, telha cerâmica, telhado, beiral, platibanda, janela, porta, degrau, habitação, residência, casa"
740,"vidro, cerâmica, madeira, alvenaria, cobertura, telha, telha cerâmica, telhado, beiral, platibanda, mureta, janela, veneziana, porta, degrau, escada, paralelepípedo, habitação, residência, casa, poste, rua"
741,"madeira, cerâmica, apoio, cobertura, telha, telha cerâmica, telhado, beiral, janela, porta, paralelepípedo, habitação, residência, casa, rua"
742,"madeira, cerâmica, apoio, cobertura, telha, telha cerâmica, telhado, beiral, janela, porta, paralelepípedo, habitação, residência, casa, rua"
743,"vidro, cerâmica, madeira, alvenaria, cobertura, telha, telha cerâmica, telhado, beiral, janela, habitação, residência, casa"
744,"vidro, cerâmica, madeira, alvenaria, cobertura, telha, telha cerâmica, telhado, beiral, janela, habitação, residência, casa"
745,"vidro, cerâmica, madeira, alvenaria, cobertura, telha, telha cerâmica, telhado, beiral, platibanda, mureta, janela, veneziana, porta, degrau, escada, paralelepípedo, azulejo, habitação, residência, casa, calçada, poste, rua"
746,"bloco de concreto, água, vidro, cerâmica, madeira, alvenaria, cobertura, telha, telha cerâmica, telhado, muro, janela, habitação, residência, casa"
747,"vidro, cerâmica, madeira, alvenaria, cobertura, telha, telha cerâmica, telhado, beiral, platibanda, janela, veneziana, porta, paralelepípedo, habitação, residência, casa, calçada"
748,"vidro, cerâmica, madeira, alvenaria, cobertura, telha, telha cerâmica, telhado, beiral, platibanda, janela, veneziana, porta, paralelepípedo, habitação, residência, casa, calçada, rua"
749,"vidro, cerâmica, madeira, alvenaria, cobertura, telha, telha cerâmica, telhado, beiral, platibanda, janela, veneziana, porta, paralelepípedo, habitação, residência, casa, calçada, rua"
750,"vidro, cerâmica, madeira, alvenaria, cobertura, telha, telha cerâmica, telhado, beiral, mureta, platibanda, janela, veneziana, porta, paralelepípedo, habitação, residência, casa, calçada, rua"
751,"vidro, alvenaria, madeira, cerâmica, apoio, telha, telha cerâmica, cobertura, telhado, janela, porta, habitação, casa, residência, rua"
752,"vidro, alvenaria, madeira, cerâmica, apoio, telha, telha cerâmica, cobertura, telhado, janela, porta, habitação, casa, residência, rua"
753,"prédio, concreto, concreto aparente, passarela, escada, patamar, abertura, guarda-corpo, clube, esportivo, cultural, edifício"
754,"prédio, concreto, concreto aparente, rampa, escada, passarela, patamar, abertura, guarda-corpo, clube, esportivo, cultural, edifício"
