tag,concreto,concreto aparente,público,alvenaria,pilar,fachada,vidro,ferro,vegetação,residência,madeira,praça,casa,edifício,esquadria,cobertura
concreto,4566,2058,1383,1074,1179,971,1288,1220,837,873,508,722,735,885,847,586
concreto aparente,2058,2566,402,517,863,758,879,721,8,665,417,45,575,360,525,410
público,1383,402,2364,730,280,127,417,702,1578,6,319,1002,8,524,231,237
alvenaria,1074,517,730,2025,442,497,837,735,435,458,468,429,377,668,466,312
pilar,1179,863,280,442,1946,495,582,471,23,210,284,45,141,240,369,383
fachada,971,758,127,497,495,1917,450,301,17,390,135,66,281,352,346,188
vidro,1288,879,417,837,582,450,1837,1141,65,465,422,97,458,602,841,325
ferro,1220,721,702,735,471,301,1141,1682,267,297,323,217,305,618,734,297
vegetação,837,8,1578,435,23,17,65,267,1621,3,189,912,6,315,14,46
residência,873,665,6,458,210,390,465,297,3,1617,470,4,1069,1,303,178
madeira,508,417,319,468,284,135,422,323,189,470,1340,28,394,66,209,190
praça,722,45,1002,429,45,66,97,217,912,4,28,1202,6,297,28,36
casa,735,575,8,377,141,281,458,305,6,1069,394,6,1150,0,293,133
edifício,885,360,524,668,240,352,602,618,315,1,66,297,0,1146,376,132
esquadria,847,525,231,466,369,346,841,734,14,303,209,28,293,376,1118,177
cobertura,586,410,237,312,383,188,325,297,46,178,190,36,133,132,177,1023
