tag,concreto,concreto aparente,público,alvenaria,pilar,fachada,vidro,ferro,vegetação,residência,madeira,praça,casa,edifício,esquadria,cobertura
concreto,1.0,0.45072,0.30289,0.23522,0.25821,0.21266,0.28208,0.26719,0.18331,0.1912,0.11126,0.15813,0.16097,0.19382,0.1855,0.12834
concreto aparente,0.80203,1.0,0.15666,0.20148,0.33632,0.2954,0.34256,0.28098,0.00312,0.25916,0.16251,0.01754,0.22408,0.1403,0.2046,0.15978
público,0.58503,0.17005,1.0,0.3088,0.11844,0.05372,0.1764,0.29695,0.66751,0.00254,0.13494,0.42386,0.00338,0.22166,0.09772,0.10025
alvenaria,0.53037,0.25531,0.36049,1.0,0.21827,0.24543,0.41333,0.36296,0.21481,0.22617,0.23111,0.21185,0.18617,0.32988,0.23012,0.15407
pilar,0.60586,0.44347,0.14388,0.22713,1.0,0.25437,0.29908,0.24203,0.01182,0.10791,0.14594,0.02312,0.07246,0.12333,0.18962,0.19681
fachada,0.50652,0.39541,0.06625,0.25926,0.25822,1.0,0.23474,0.15702,0.00887,0.20344,0.07042,0.03443,0.14658,0.18362,0.18049,0.09807
vidro,0.70114,0.4785,0.227,0.45563,0.31682,0.24496,1.0,0.62112,0.03538,0.25313,0.22972,0.0528,0.24932,0.32771,0.45781,0.17692
ferro,0.72533,0.42866,0.41736,0.43698,0.28002,0.17895,0.67836,1.0,0.15874,0.17658,0.19203,0.12901,0.18133,0.36742,0.43639,0.17658
vegetação,0.51635,0.00494,0.97347,0.26835,0.01419,0.01049,0.0401,0.16471,1.0,0.00185,0.11659,0.56262,0.0037,0.19432,0.00864,0.02838
residência,0.53989,0.41126,0.00371,0.28324,0.12987,0.24119,0.28757,0.18367,0.00186,1.0,0.29066,0.00247,0.6611,0.00062,0.18738,0.11008
madeira,0.3791,0.31119,0.23806,0.34925,0.21194,0.10075,0.31493,0.24104,0.14104,0.35075,1.0,0.0209,0.29403,0.04925,0.15597,0.14179
praça,0.60067,0.03744,0.83361,0.35691,0.03744,0.05491,0.0807,0.18053,0.75874,0.00333,0.02329,1.0,0.00499,0.24709,0.02329,0.02995
casa,0.63913,0.5,0.00696,0.32783,0.12261,0.24435,0.39826,0.26522,0.00522,0.92957,0.34261,0.00522,1.0,0.0,0.25478,0.11565
edifício,0.77225,0.31414,0.45724,0.5829,0.20942,0.30716,0.52531,0.53927,0.27487,0.00087,0.05759,0.25916,0.0,1.0,0.3281,0.11518
esquadria,0.7576,0.46959,0.20662,0.41682,0.33005,0.30948,0.75224,0.65653,0.01252,0.27102,0.18694,0.02504,0.26208,0.33631,1.0,0.15832
cobertura,0.57283,0.40078,0.23167,0.30499,0.37439,0.18377,0.31769,0.29032,0.04497,0.174,0.18573,0.03519,0.13001,0.12903,0.17302,1.0
