tag,count
concreto,4566
concreto aparente,2566
público,2364
alvenaria,2025
pilar,1946
fachada,1917
vidro,1837
ferro,1682
vegetação,1621
residência,1617
madeira,1340
praça,1202
casa,1150
edifício,1146
esquadria,1118
cobertura,1023
habitação,1020
pedra,961
viga,943
cerâmica,932
prédio,923
janela,881
concreto armado,873
rua,871
jardim,867
caixilho,854
circulação,846
pano de vidro,836
parque,796
gramado,789
laje,753
banco,737
escola,735
projeto,735
educacional,722
estação rodoviária,660
maquete,658
calçada,628
tijolo de barro,613
guarda-corpo,584
escada,572
faculdade,557
brise,551
telhado,542
coluna,532
abertura,510
concreto pintado,506
igreja,503
luminária,491
estrutura,460
desnível,457
construção,445
guarda corpo,440
mobiliário,439
poste,409
janela basculante,408
esportivo,405
rampa,402
#573,399
marquise,393
canteiro,392
beiral,390
telha,389
canteiro de obras,384
museu,368
porta,367
clube,366
arco,360
empena,349
abertura zenital,343
escultura,339
parede curva,337
patamar,324
aço,323
religioso,322
platibanda,318
ribeirão preto,318
arquitetura moderna,305
muro,290
painel,284
parede,275
degrau,274
fachada de vidro,273
comercial,272
abóbada,256
turístico,255
árvore de porte,252
mureta,250
ornamento,244
água,241
modernismo,237
terra,233
hans broos,219
granito,213
universidade,213
telha cerâmica,212
azulejo,211
cultural,211
brutalismo,209
cobogó,208
transporte,207
pilotis,207
passarela,201
bloco de concreto,201
lazer,200
pórtico,198
fachada cega,194
desenho,191
veneziana,191
elemento vazado,190
laje nervurada,185
ministério,183
vão,183
mosaico português,181
escadaria,181
torre,180
tijolo,180
corrimão,179
administrativo,179
espaco573,174
#espaco573,173
varanda,172
cimento,170
centro cívico,169
iluminação zenital,168
terraço,165
montante,165
estação de trem,165
rodoviária,159
mezanino,159
573,153
pastilha,152
colônia de férias,152
paralelepípedo,151
centro cultural,150
centro recreativo,149
conjunto habitacional,147
apoio,147
ponte,147
telhado duas águas,146
playground,144
caminho,142
mesa,141
mosaico,139
treliça,139
corredor,139
fábrica,138
sindicato,136
portão,136
jardim botânico,135
espelho d'água,135
campus,132
grade,132
cerca,129
estrutura metálica,128
harri lorenzi,127
plantarum,127
ginásio,126
cidade,126
plano inclinado,123
laboratório,123
pátio,122
janela de correr,121
arquitetura,120
ripa,119
lago,119
gradil,118
piscina,117
balneário,114
hospital,114
porta de correr,113
segnini,113
barretto,113
vão livre,112
catedral,110
são paulo,108
estrutura de concreto,108
blumenau,106
lerolero,105
desenho de piso,103
espelho dágua,103
#meuquarto,102
caixa dágua,102
cúpula,102
lerofauusp,101
escora,101
sacada,100
estrutura em balanço,98
pilarete,98
arco pleno,98
estacionamento,98
frontão,97
sala de estar,95
centro esportivo,94
capela,94
usp,94
biblioteca,94
domus,92
cor,91
teatro,91
fonte,91
viaduto,90
cimbramento,88
plataforma,87
chaminé,86
janela pivotante,86
vermelho,85
monumento,85
estádio,84
pérgola,84
garagem,83
planta,83
piloti,83
brasilia,83
avenida,80
amarelo,79
quadra,79
#seminarios2016,78
mármore,78
marcenaria,77
arcada,77
ar condicionado,77
instituto,77
serralheria,77
andaime,77
bloco intertravado,76
vergalhão,76
#representar2015,76
escada caracol,76
galpão,74
vila operária,74
errancia,72
fibrocimento,72
janela guilhotina,70
pináculo,69
#573plataforma,69
#feira,67
icht 2023 - são paulo,67
niemeyer,67
canteiro de obra,67
piso de madeira,66
hotel,65
alumínio,64
areia,64
ladrilho hidráulico,63
colunata,63
vitral,63
industrial,63
largo,62
voluta,62
institucional,62
estrutura de madeira,62
sao paulo,61
ruína,61
elevado,60
gárgula,60
patrimônio,60
friso,59
fau,59
caibro,59
taipa,59
citinet,58
porta duas folhas,58
rio,57
óculo,57
residencial,57
sobrado,56
alto relevo,56
balaústre,55
janela guilhotinada,55
arquibancada,55
sesc,55
escritório,54
telhado quatro águas,54
painel cerâmico,54
forro,54
cinema,54
altar,53
placa pré moldada,53
alambrado,53
estante,53
uso misto,53
bandeira,53
rede de caminhos,53
pré-moldado,53
interior,53
córrego,53
toldo,52
janela em fita,52
popular,52
fôrma,52
renovação urbana,52
tirante,52
externo,52
forração,52
pré-fabricado,51
tesoura,50
sp,50
cano,50
pastilha cerâmica,50
relógio,49
auditório,49
minas,49
centro,49
financeiro,49
uberaba,49
vinhedo,48
minhocão,48
exposição,48
restaurante,48
concreto estampado,48
balcão,47
metrô,46
pavilhão,46
janela contrapeso,46
esteio,46
paisagismo,46
arco abatido,46
reurbanização,44
deriva,44
esquina,44
pilastra,43
mastro,43
palha,43
ruínas,43
casario,43
rufo,43
corte,43
alojamento,43
fazenda,42
bancada,42
mural,42
palmeira,42
peitoril,42
quiosque,42
armadura metálica,42
janela duas folhas,41
cornija,40
minas gerais,40
plano piloto,40
balaustrada,40
colonial,39
centro histórico,39
croqui,39
caixa d'água,39
573muros,39
ecletismo,39
postal,39
clarabóia,39
ouro,39
loja,38
campus universitário,38
lanagro,38
centro de convenções,38
quadra poliesportiva,38
terraço jardim,37
lixeiras,37
lero_sesc24demaio,37
lero_sescpompeia,36
agência bancária,36
vila maria zélia,36
icht 2023 - recife,36
lina,35
tribunal,35
arco ogival,35
holofote,35
calçadão,35
patio,34
intervenção,34
ponto de ônibus,34
galeria,34
art nouveau,34
porto alegre,33
colonia,33
vale,33
muxarabi,33
apartamento,33
bloco cerâmico,33
industria,33
palafita,32
pergolado,32
engenho,32
capital gaucha,31
salão,31
bloco residencial,31
talha,31
lero_koch,31
pompeia,31
detalhe,30
mercado,30
vazioprojetado,30
terminal,30
maquinário,30
carro,29
shed,29
urbanismo,29
telhado uma água,29
pinacoteca,29
forma,28
chão batido,28
ciclovia,28
lazer em sp,28
frontispício,28
casca,28
atelier,28
portugal,28
térreo livre,28
lareira,28
piso,27
linha férrea,27
acrílico,27
santa catarina,27
totem,27
mares de morros,27
planta baixa,27
palacete,26
persiana,26
domo,26
argamassa,26
mão-francesa,26
praia,26
equipamento,26
contemporaneo,25
bardaria,25
escada de mão,25
cachorro,25
arte,25
cozinha,25
calha,25
dormitório,25
programa,25
vernacular,25
urbanização,24
tubulação,24
cobre,24
elevador,24
#graffiti,24
#avenida23demaio,24
#arcosdojanio,24
claraboia,24
itu,24
aut0512,24
transporte público,24
creche,24
forro de madeira,24
bronze,24
prédio em lâmina,24
modulação,24
sítio,24
largo do paissandú,24
bloco de vidro,23
mar,23
vista,23
casarão,23
#viaexpressa,23
grandes estruturas,23
campo de futebol,23
florianópolis,23
ferrovia,23
comércio,23
timbó,23
sala de aula,23
via,23
reitoria,22
letreiro,22
escravos,22
